"UserId","Level","Showcases","Comments","Badges"
1,17,1,24,10
2,55,2,105,47
3,0,0,11,0
4,16,1,15,12
5,52,4,98,38
6,27,2,5,41
7,57,5,1024,72
8,14,1,16,10
9,21,2,25,21
10,71,7,111,66
11,300,2,261,990
12,0,0,0,0
13,92,3,1029,104
14,9,0,4,3
15,4,0,0,3
16,2,0,6,3
17,5,0,4,4
18,15,1,3,11
19,3,0,0,3
20,29,2,21,26
21,255,6,1,652
22,2,0,4,2
23,18,1,12,15
24,27,2,309,25
25,11,1,0,4
26,13,1,3,12
27,60,6,29,112
28,34,3,5,33
29,30,3,64,17
30,15,1,5,15
31,35,3,5869,38
32,111,2,127,131
33,10,0,14,4
34,40,4,267,33
35,44,2,3,61
36,4,0,1,3
37,101,1,4971,148
38,200,2,0,339
39,5,0,41,3
40,93,9,407,403
41,8,0,1,3
42,5,0,7,5
43,6,0,1,4
44,8,0,0,6
45,23,2,10,27
46,1,0,0,2
47,16,1,7,17
48,28,2,2,34
49,5,0,0,3
50,22,2,97,19
51,11,1,91,8
52,119,11,192,119
53,2,0,0,2
54,2,0,1,2
55,3,0,123,3
56,13,1,5,13
57,37,3,0,43
58,60,6,151,44
59,21,2,36,25
60,13,1,6,8
61,4,0,0,3
62,100,2,125,120
63,2,0,0,2
64,3,0,0,2
65,6,0,13,3
66,9,0,2,3
67,5,0,1,5
68,18,1,46,16
69,4,0,0,2
70,41,4,24,49
71,48,4,105,36
72,9,0,0,5
73,122,5,1550,216
74,30,3,114,47
75,5,0,0,2
76,3,0,2,3
77,12,0,49,9
78,20,2,145,18
79,12,0,0,9
80,2,0,13,3
81,210,15,3002,447
82,17,1,44,12
83,11,1,37,5
84,8,0,0,3
85,7,0,0,5
86,10,0,0,4
87,20,2,9,18
88,3,0,2,3
89,5,0,10,3
90,25,2,41,14
91,28,2,22,32
92,22,2,417,13
93,23,2,22,17
94,52,5,19,100
95,6,0,3,3
96,0,0,0,0
97,16,1,3,10
98,301,3,4782,951
99,42,4,33,77
100,17,1,50,15
101,7,0,7,4
102,2,0,2,3
103,4,0,0,3
104,21,2,34,19
105,12,1,4,9
106,13,0,5,5
107,75,3,3887,236
108,3,0,2,2
109,20,1,63,18
110,51,5,289,50
111,222,2,862,553
112,48,4,8,102
113,322,7,289,1047
114,0,0,0,0
115,5,0,0,2
116,13,1,7,9
117,23,0,129,18
118,3,0,9,3
119,18,1,6,18
120,57,5,180,89
121,85,8,107,118
122,11,0,6,5
123,7,0,29,4
124,17,1,0,14
125,6,0,0,3
126,50,5,7,46
127,1,0,0,1
128,71,7,103,92
129,21,2,5,13
130,32,3,33,44
131,7,0,12,4
132,53,5,725,39
133,13,1,0,10
134,47,4,2,44
135,10,0,19,6
136,11,1,11,6
137,24,2,10,19
138,80,4,476,104
139,22,2,14,16
140,51,5,41,45
141,7,0,0,4
142,63,6,92,89
143,16,1,25,11
144,69,6,547,73
145,70,5,55,69
146,20,2,261,13
147,23,2,0,22
148,13,1,16,11
149,3,0,4,2
150,15,1,151,12
151,12,0,6,9
152,8,0,2,6
153,9,0,1,4
154,27,2,127,26
155,10,0,19,4
156,47,3,13,42
157,14,1,73,11
158,314,15,2824,1106
159,70,7,119,137
160,202,0,2328,761
161,11,1,3,6
162,27,2,0,37
163,11,0,0,4
164,55,5,2306,90
165,2,0,0,2
166,18,1,55,14
167,3,0,6,3
168,23,2,13,18
169,9,0,12,5
170,62,0,184,85
171,25,2,194,29
172,11,1,0,4
173,9,0,97,4
174,3,0,0,2
175,41,4,101,49
176,37,3,61,69
177,7,0,9,4
178,220,4,1465,574
179,13,1,4,8
180,0,0,0,0
181,12,1,3,8
182,11,1,5,4
183,8,0,0,5
184,5,0,0,3
185,10,1,2,7
186,46,4,3,32
187,11,1,5,7
188,17,1,9,17
189,45,4,1,60
190,17,0,20,8
191,55,5,104,49
192,8,0,8,4
193,13,1,1,8
194,7,0,30,4
195,38,3,121,56
196,52,5,6,62
197,7,0,0,2
198,19,1,3,12
199,15,1,11,8
200,134,5,5487,272
201,102,10,24,129
202,30,3,170,15
203,52,5,153,84
204,21,2,61,14
205,2,0,1,3
206,43,4,385,64
207,52,5,72,74
208,12,1,36,6
209,2,0,0,2
210,72,7,135,79
211,0,0,0,3
212,38,3,40,64
213,101,5,137,314
214,4,0,2,3
215,0,0,0,0
216,40,4,131,30
217,7,0,3,3
218,3,0,6,3
219,23,2,7,22
220,9,0,13,5
221,16,1,31,8
222,36,3,0,36
223,50,3,80,34
224,2,0,0,2
225,9,0,4,4
226,22,2,33,20
227,4,0,0,2
228,9,0,3,2
229,6,0,2,4
230,66,6,235,131
231,4,0,1,3
232,21,2,23,15
233,24,2,6,12
234,58,5,35,128
235,3,0,1,3
236,91,9,376,174
237,902,13,12834,5417
238,63,6,45,81
239,4,0,1,4
240,2,0,16,3
241,4,0,0,2
242,14,1,3,8
243,32,3,51,44
244,0,0,0,0
245,21,2,3,15
246,12,1,15,8
247,27,2,42,32
248,1,0,2,1
249,67,1,51,62
